IDStore,OutletLocation,OutletCategory,StreetAddress1,StreetAddress2,UrbanVillage,Sub-district,City,Province,PostalCode,OpenTime,ClosedTime,GoogleRating,GoFoodRating,GrabFoodRating,YummyAdvisorRating
ID5059,Ruko Kelapa Gading,Shopping Mall,Ruko Kelapa Gading Boulevard Barat no 43,,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,Jakarta,14240,07:00:00 AM,08:00:00 PM,4.2,4.8,,
ID5060,Kirana Kelapa Gading,CafeStore,Jl. Gading Kirana Timur IX No.49,,,Kelapa Gading,Jakarta Utara,Jakarta,14240,08:00:00 AM,08:00:00 PM,4.5,4.8,4.7,3.9
ID5061,Sunter Mall,Shopping Mall,Jl. Danau Sunter Utara No 2,Lt Dasar unit 3,Sunter Agung,Tj. Priok,Jakarta Utara,Jakarta,14350,09:00:00 AM,10:00:00 PM,4.3,4.9,4.8,
ID5062,Pantai Indah Kapuk,CafeStore,Jl. Marina Raya No.2,,Kapuk Muara,Penjaringan,Jakarta Utara,Jakarta,14470,08:00:00 AM,08:00:00 PM,4.5,4.8,4.8,
ID5063,AEON Tanjung Barat,Shopping Mall,Jl. Raya Tj. Barat No.163,G Floor Unit 058,Tanjung Barat,Jagakarsa,Jakarta Selatan,Jakarta,12530,10:00:00 AM,09:30:00 PM,4.1,4.8,4.9,
ID5064,M. Kahfi,CafeStore,Jalan M. Khafi 1 No. 123,,Ciganjur,Jagakarsa,Jakarta Selatan,Jakarta,12630,08:00:00 AM,09:00:00 PM,4.9,,,
ID5065,Kebagusan,CafeStore,Jl. Kebagusan 1 No 5,,Kebagusan,Pasar Minggu,Jakarta Selatan,Jakarta,12520,08:00:00 AM,07:00:00 PM,4.5,4.8,4.9,
ID5066,Cilandak Business Square ,Office Tower,Jl. TB Simatupang No.2,,Cilandak Timur,Pasar Minggu,Jakarta Selatan,Jakarta,12560,07:00:00 AM,06:00:00 PM,4.5,4.8,4.8,
ID5067,Pondok Labu,CafeStore,Jl. Margasatwa No.2,,Pondok Labu,Cilandak,Jakarta Selatan,Jakarta,12450,08:00:00 AM,07:00:00 PM,4.4,4.8,4.8,
ID5068,Lebak Bulus,CafeStore,Jl. Haji Baun No 46,,Lebak Bulus,Cilandak,Jakarta Selatan,Jakarta,12440,08:00:00 AM,09:00:00 PM,4.5,4.7,4.8,
ID5069,Cipete,CafeStore,Jl. Cipete Raya No.2A,,Cipete Selatan,Cilandak,Jakarta Selatan,Jakarta,12410,07:00:00 AM,09:00:00 PM,4.6,4.8,4.7,
ID5070,Bintaro Kesehatan ,CafeStore,Jl. Kesehatan Raya no. 7 ,,Bintaro,Pesanggrahan,Jakarta Selatan,Jakarta,12330,09:00:00 AM,09:00:00 PM,4.6,4.8,4.8,
ID5071,Pasar Minggu,CafeStore,Jl. Raya Ragunan No.19A,,Jati Padang,Pasar Minggu,Jakarta Selatan,Jakarta,12540,10:00:00 AM,09:30:00 PM,4.7,4.8,4.8,
ID5072,Gandaria City Mall,Shopping Mall,Jl. Arteri Pd. Indah,"Lantai Upper Ground, Mainstreet Dining",Kebayoran Lama Utara,Kebayoran Lama,Jakarta Selatan,Jakarta,12240,11:00:00 AM,09:00:00 PM,4.2,4.8,4.7,
ID5073,Petogogan,CafeStore,Jl. Petogogan 1 no.21 ,,Pulo,Kebayoran Baru,Jakarta Selatan,Jakarta,12140,07:00:00 AM,09:00:00 PM,4.3,4.8,4.8,
ID5074,Senopati,CafeStore,Jl. Senopati no.77,,Selong,Kebayoran Baru,Jakarta Selatan,Jakarta,12110,09:30:00 AM,07:30:00 PM,4.5,4.8,4.8,
ID5075,Gama Tower,Office Tower,Jl. H. R. Rasuna Said No.Kav. C-22,,Karet Kuningan,Setia Budi,Jakarta Selatan,Jakarta,12940,08:00:00 AM,06:00:00 PM,3.7,4.7,4.7,
ID5076,Mall Ambassador,Shopping Mall,"Jl. Prof. DR. Satrio, Kuningan",Lantai Dasar Lobby Timur (LT.D/06) ,Karet Kuningan,Setia Budi,Jakarta Selatan,Jakarta,12940,08:00:00 AM,07:00:00 PM,3.9,4.8,4.8,
ID5077,Plaza Festival,Shopping Mall,Jl. H. R. Rasuna Said No.Kav. 22,unit GF - 17,Karet Kuningan,Setia Budi,Jakarta Selatan,Jakarta,12940,09:00:00 AM,09:00:00 PM,4.7,4.8,4.8,
ID5078,Menara Standard Chartered,Office Tower,Jl. Prof DR. Satrio No. 164,Lt. Dasar,Karet Semanggi,Setia Budi,Jakarta Selatan,Jakarta,12930,08:00:00 AM,07:00:00 PM,4.7,4.8,4.8,
ID5079,WTC Sudirman,Office Tower,Jl. Jend. Sudirman No.kav 29,,Karet Kuningan,Setia Budi,Jakarta Selatan,Jakarta,12920,07:00:00 AM,04:30:00 PM,4.5,4.7,4.8,
ID5080,Millennium Centennial Center,Office Tower,Jl. Jend. Sudirman No.Kav 25,,Karet Kuningan,Setia Budi,Jakarta Selatan,Jakarta,12920,07:30:00 AM,05:00:00 PM,4.7,4.8,4.9,
ID5081,Kalibata City Apartement,Apartement,Jl. Kalibata Raya No. 1,Lantai GF/AT-B CT B2 ,Rawajati,Pancoran,Jakarta Selatan,Jakarta,12750,09:00:00 AM,09:00:00 PM,4.5,4.8,4.8,
ID5082,Panin Drive Thru,CafeStore,Jl. Jenderal Sudirman No.1,,Gelora,Tanah Abang,Jakarta Pusat,Jakarta,10270,07:00:00 AM,06:00:00 PM,4.4,4.8,4.7,
ID5083,Green Pramuka Square Mall,Apartement,Jl. Rw. Jaya No.49,,Rawasari,Cempaka Putih,Jakarta Pusat,Jakarta,13120,08:00:00 AM,09:00:00 PM,4.3,4.8,4.8,
ID5084,Cempaka Putih,CafeStore,Jl. Cempaka Putih Raya No.12B,,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,Jakarta,10510,08:00:00 AM,09:00:00 PM,5,4.8,,
ID5085,Citra Xperience,Shopping Mall,Jalan Casa No.170,Lower Ground Area Podium,Kebon Kosong,Kemayoran,Jakarta Pusat,Jakarta,10630,08:00:00 AM,09:00:00 PM,4.4,4.8,4.8,
ID5086,Thamrin Residence Apartement,Apartement,Jalan Kebon Kacang Raya,,Kebon Melati,Tanahabang,Jakarta Pusat,Jakarta,10230,07:00:00 AM,10:00:00 PM,4.6,4.8,4.8,
ID5087,Plaza Indonesia,Shopping Mall,Jl. M.H. Thamrin No.Kav. 28-30,L1 #E022,Gondangdia,Menteng,Jakarta Pusat,Jakarta,10350,10:00:00 AM,09:00:00 PM,3.9,4.5,4.8,
ID5088,Djakarta Theater,Shopping Mall,Jl. M.H. Thamrin No.9,"Theater Lantai dasar, Koridor Unit A2a ",Kebon Sirih,Menteng,Jakarta Pusat,Jakarta,10230,08:00:00 AM,07:00:00 PM,5,4.8,4.8,
ID5089,Cideng,CafeStore,Jl. Cideng Timur No. 59,Suan Thai - lantai 1(lantai dasar),Petojo Selatan,Gambir,Jakarta Pusat,Jakarta,10160,07:00:00 AM,09:00:00 PM,4.2,4.8,4.8,
ID5090,Cikini,CafeStore,Jalan Cikini Raya No.75 ,Unit GF-02 - 02A,Cikini,Menteng,Jakarta Pusat,Jakarta,10330,11:00:00 AM,07:00:00 PM,4.4,4.7,4.8,
ID5091,Citra 6,CafeStore,Jl. Citra Garden VI,,Tegal Alur,Kalideres,Jakarta Barat,Jakarta,11820,08:00:00 AM,09:00:00 PM,4.8,4.8,4.8,
ID5092,Citywalk Gajah Mada,CafeStore,Jl. Gajahmada No. 211,Groundfloor 8-9,Glodok,Tamansari,Jakarta Barat,Jakarta,11120,10:00:00 AM,08:00:00 PM,4.6,4.8,4.8,4.1
ID5093,Daan Mogot,CafeStore,Jl. Daan Mogot Raya No. 95C,Lantai 1 Lobby Teras Barat Extension,Duri Kepa,Kebon Jeruk,Jakarta Barat,Jakarta,11510,08:00:00 AM,07:00:00 PM,4.5,4.8,4.8,3.8
ID5094,Mall Taman Anggrek,Shopping Mall,jl. Letjen S. Parman No.28,Lantai Dasar unit GL/F18,Tomang,Grogol Petamburan,Jakarta Barat,Jakarta,11440,10:00:00 AM,10:00:00 PM,4.3,4.8,4.8,
ID5095,Tanjung Duren,CafeStore,Jl. Tanjung Duren Raya No 1-H,,Tj. Duren Sel,Grogol petamburan,Jakarta Barat,Jakarta,11470,07:00:00 AM,09:00:00 PM,4.4,4.8,4.7,
ID5096,Puri Kembangan,CafeStore,Jl. Kembangan Raya No. 46,,Kembangan Selatan,Kembangan,Jakarta Barat,Jakarta,11610,07:00:00 AM,08:00:00 PM,4.4,4.9,4.7,
ID5097,Pesanggrahan,CafeStore,Jl. Pesanggrahan no.168,,Meruya Utara,Kembangan,Jakarta Barat,Jakarta,11620,07:00:00 AM,08:30:00 PM,4.5,4.8,4.8,
ID5098,Anggrek Cakra,CafeStore,Jl. Anggrek Cakra No 20,,Kebon Jeruk,Kebon Jeruk,Jakarta Barat,Jakarta,11530,08:00:00 AM,10:00:00 PM,4.6,4.8,4.8,
ID5099,Joglo Raya,CafeStore,Jalan Raya Joglo no 14 ,,Joglo,Kembangan,Jakarta Barat,Jakarta,11640,08:00:00 AM,08:00:00 PM,4.6,4.8,4.8,
